SSBB,MLBAM,team,firstName,lastName,1B,2B,3B,SS,OF,osbAL,ocsAL,osbNL,ocsNL,BAvR,OBvR,SLvR,BAvL,OBvL,SLvL
149,657514,Sea,Brennan,Bernardino,,,,,,,,,,,,,,,
150,666720,Tex,Yerry,Rodriguez,,,,,,,,,,,,,,,
151,676206,Oak,Freddy,Tarnok,,,,,,,,,,,,,,,
152,628317,Min,Kenta,Maeda,,,,,,,,,,,,,,,
153,572020,Bos,James,Paxton,,,,,,,,,,,,,,,
154,605513,Det,Spencer,Turnbull,,,,,,,,,,,,,,,
155,656288,LAA,Griffin,Canning,,,,,,,,,,,,,,,
156,665620,NYA,Deivi,Garcia,,,,,,,,,,,,,,,
157,663878,Tor,Nate,Pearson,,,,,,,,,,,,,,,
158,669735,LAA,Chris,Rodriguez,,,,,,,,,,,,,,,
159,680692,ChA,Jonathan,Stiever,,,,,,,,,,,,,,,
160,680570,Bal,Grayson,Rodriguez,,,,,,,,,,,,,,,
161,680723,Bal,Drew,Rom,,,,,,,,,,,,,,,
162,681555,Bal,Andrew,Politi,,,,,,,,,,,,,,,
163,667356,Bos,Bryan,Mata,,,,,,,,,,,,,,,
164,687888,Bos,Brandon,Walter,,,,,,,,,,,,,,,
165,696147,LAA,Sam,Bachman,,,,,,,,,,,,,,,
166,681066,LAA,Ky,Bush,,,,,,,,,,,,,,,
167,669721,LAA,Davis,Daniel,,,,,,,,,,,,,,,
168,690829,LAA,Ben(round/3/2022/MLB/draft),Joyce,,,,,,,,,,,,,,,
169,667755,LAA,Jose,Soriano,,,,,,,,,,,,,,,
170,691721,ChA,Jared,Kelley,,,,,,,,,,,,,,,
171,694195,ChA,Norge,Vera,,,,,,,,,,,,,,,
172,702273,ChA,Noah(round/1/2022/MLB/draft),Schultz,,,,,,,,,,,,,,,
173,688883,ChA,Peyton(round/2/2022/MLB/draft),Pallette,,,,,,,,,,,,,,,
174,691441,ChA,Cristian,Mena,,,,,,,,,,,,,,,
175,682982,Cle,Daniel(hurt),Espino,,,,,,,,,,,,,,,
176,671106,Cle,LoganT.,Allen(Cle),,,,,,,,,,,,,,,
177,668909,Cle,Gavin,Williams,,,,,,,,,,,,,,,
178,676282,Cle,Joey,Cantillo,,,,,,,,,,,,,,,
179,676440,Cle,Tanner,Bibee,,,,,,,,,,,,,,,
180,683235,Cle,Justin(round/1C/2022/MLB/draft),Campbell,,,,,,,,,,,,,,,
181,695549,Det,Jackson,Jobe,,,,,,,,,,,,,,,
182,680744,Det,Ty,Madden,,,,,,,,,,,,,,,
183,695865,Det,Wilmer,Flores(Det),,,,,,,,,,,,,,,
184,681857,Det,Reese,Olson,,,,,,,,,,,,,,,
185,669438,Det,Mason,Englert,,,,,,,,,,,,,,,
186,669370,KC,Asa,Lacy,,,,,,,,,,,,,,,
187,680742,KC,Jonathan,Bowlan,,,,,,,,,,,,,,,
188,700924,KC,Frank,Mozzicato,,,,,,,,,,,,,,,
189,695667,KC,Ben,Kudrna,,,,,,,,,,,,,,,
190,679525,KC,Alec,Marsh,,,,,,,,,,,,,,,
191,666364,Min,Jordan,Balazovic,,,,,,,,,,,,,,,
192,669416,Min,Blayne,Enlow,,,,,,,,,,,,,,,
193,694397,Min,Marco,Raya,,,,,,,,,,,,,,,
194,687570,Min,Connor(round/2/2022/MLB/draft),Prielipp,,,,,,,,,,,,,,,
195,701581,Min,David,Festa,,,,,,,,,,,,,,,
196,672782,NYA,Yoendrys,Gomez,,,,,,,,,,,,,,,
197,681190,NYA,Randy,Vasquez,,,,,,,,,,,,,,,
198,701542,NYA,Will,Warren,,,,,,,,,,,,,,,
199,689672,NYA,Drew(round/2/2022/MLB/draft),Thorpe,,,,,,,,,,,,,,,
200,690925,NYA,Clayton,Beeter,,,,,,,,,,,,,,,
201,665622,Oak,Luis,Medina,,,,,,,,,,,,,,,
202,680684,Oak,Gunnar,Hoglund,,,,,,,,,,,,,,,
