MLBID,team
691783,Gatherers #11
694812,Gatherers #11
681857,Gatherers #11
694297,Gatherers #11
694184,Gatherers #11
687888,Gatherers #11
694214,Gatherers #11
699133,Gatherers #11
691398,Gatherers #11
682790,Gatherers #11
700174,Gatherers #11
669302,Hitmen #14
669923,Hitmen #14
663804,Hitmen #14
641778,Hitmen #14
666159,Hitmen #14
641927,Hitmen #14
644364,Hitmen #14
641329,Hitmen #14
456713,Hitmen #14
666721,Hitmen #14
664776,Hitmen #14
518886,Hitmen #14
608349,Hitmen #14
664875,Hitmen #14
670970,Hitmen #14
669330,Hitmen #14
489446,Hitmen #14
666128,Hitmen #14
592663,Hitmen #14
683734,Hitmen #14
660644,Hitmen #14
663697,Hitmen #14
656305,Hitmen #14
666915,Hitmen #14
641914,Hitmen #14
642708,Hitmen #14
657557,Hitmen #14
649966,Hitmen #14
664056,Hitmen #14
641355,Hitmen #14
664314,Hitmen #14
656537,Hitmen #14
666160,Hitmen #14
665154,Hitmen #14
682668,Hitmen #14
678394,Hitmen #14
680695,Hitmen #14
672478,Hitmen #14
682617,Hitmen #14
686752,Hitmen #14
672832,Hitmen #14
682640,Hitmen #14
671131,Hitmen #14
663658,Hitmen #14
676917,Hitmen #14
683425,Hitmen #14
669360,Hitmen #14
686643,Hitmen #14
693307,Hitmen #14
691176,Hitmen #14
666152,Hitmen #14
671739,Hitmen #14
669370,Hitmen #14
683083,Hitmen #14
663452,Hitmen #14
673461,Hitmen #14
687462,Hitmen #14
691458,Hitmen #14
690993,Hitmen #14
680744,Hitmen #14
700241,Hitmen #14
695657,Hitmen #14
694215,Hitmen #14
694216,Hitmen #14
665987,Hitmen #14
701648,Hitmen #14
703150,Hitmen #14
694217,Hitmen #14
695670,Hitmen #14
692352,Hitmen #14
695603,Hitmen #14
703159,Hitmen #14
691437,Hitmen #14
657508,Hydra #6
672710,Hydra #6
621107,Hydra #6
665620,Hydra #6
593334,Hydra #6
674072,Hydra #6
656605,Hydra #6
656686,Hydra #6
670912,Hydra #6
663574,Hydra #6
592789,Hydra #6
592791,Hydra #6
641360,Hydra #6
666374,Hydra #6
608638,Hydra #6
661395,Hydra #6
661269,Hydra #6
664854,Hydra #6
667297,Hydra #6
656793,Hydra #6
640462,Hydra #6
642701,Hydra #6
608371,Hydra #6
592200,Hydra #6
671056,Hydra #6
608348,Hydra #6
571912,Hydra #6
544369,Hydra #6
677951,Hydra #6
670032,Hydra #6
621028,Hydra #6
606115,Hydra #6
666158,Hydra #6
608336,Hydra #6
676801,Hydra #6
663630,Hydra #6
677592,Hydra #6
665750,Hydra #6
657041,Hydra #6
666163,Hydra #6
672701,Hydra #6
677593,Hydra #6
669157,Hydra #6
677941,Hydra #6
677649,Hydra #6
672765,Hydra #6
656578,Hydra #6
677870,Hydra #6
682657,Hydra #6
663485,Hydra #6
673231,Hydra #6
677960,Hydra #6
683145,Hydra #6
687072,Hydra #6
691264,Hydra #6
687431,Hydra #6
669310,Hydra #6
676333,Hydra #6
693739,Hydra #6
691945,Hydra #6
691767,Hydra #6
694497,Hydra #6
678689,Hydra #6
694181,Hydra #6
680743,Hydra #6
694197,Hydra #6
701605,Hydra #6
690987,Hydra #6
694367,Hydra #6
690998,Hydra #6
694211,Hydra #6
696136,Hydra #6
668909,Hydra #6
695491,Hydra #6
703154,Hydra #6
703158,Hydra #6
703160,Hydra #6
700924,Hydra #6
702913,Hydra #6
691797,Hydra #6
696135,Hydra #6
680694,Hyperjets #5
621111,Hyperjets #5
543243,Hyperjets #5
676083,Hyperjets #5
656731,Hyperjets #5
622608,Hyperjets #5
592866,Hyperjets #5
660896,Hyperjets #5
664076,Hyperjets #5
622694,Hyperjets #5
669270,Hyperjets #5
642121,Hyperjets #5
657031,Hyperjets #5
608723,Hyperjets #5
621051,Hyperjets #5
543309,Hyperjets #5
665489,Hyperjets #5
624415,Hyperjets #5
665862,Hyperjets #5
621011,Hyperjets #5
600869,Hyperjets #5
642727,Hyperjets #5
622761,Hyperjets #5
453568,Hyperjets #5
592696,Hyperjets #5
621493,Hyperjets #5
641394,Hyperjets #5
664041,Hyperjets #5
665600,Hyperjets #5
666783,Hyperjets #5
656913,Hyperjets #5
676092,Hyperjets #5
656736,Hyperjets #5
666179,Hyperjets #5
671286,Hyperjets #5
670276,Hyperjets #5
677007,Hyperjets #5
686599,Hyperjets #5
677647,Hyperjets #5
681068,Hyperjets #5
686751,Hyperjets #5
686799,Hyperjets #5
666199,Hyperjets #5
682642,Hyperjets #5
682641,Hyperjets #5
671088,Hyperjets #5
676617,Hyperjets #5
678681,Hyperjets #5
673726,Hyperjets #5
682674,Hyperjets #5
669142,Hyperjets #5
693440,Hyperjets #5
682697,Hyperjets #5
678554,Hyperjets #5
668761,Hyperjets #5
686651,Hyperjets #5
676464,Hyperjets #5
686894,Hyperjets #5
680732,Hyperjets #5
699394,Hyperjets #5
699115,Hyperjets #5
699144,Hyperjets #5
699113,Hyperjets #5
693850,Hyperjets #5
676664,Hyperjets #5
699112,Hyperjets #5
686218,Hyperjets #5
681916,Hyperjets #5
694222,Hyperjets #5
691728,Hyperjets #5
694377,Hyperjets #5
703195,Hyperjets #5
703184,Hyperjets #5
698916,Hyperjets #5
703183,Hyperjets #5
700320,Hyperjets #5
694357,Hyperjets #5
703188,Hyperjets #5
683349,Hyperjets #5
656427,Kodiaks #7
596295,Kodiaks #7
607536,Kodiaks #7
543294,Kodiaks #7
641771,Kodiaks #7
656713,Kodiaks #7
656970,Kodiaks #7
670174,Kodiaks #7
621366,Kodiaks #7
630023,Kodiaks #7
676051,Kodiaks #7
663855,Kodiaks #7
669674,Kodiaks #7
643511,Kodiaks #7
608718,Kodiaks #7
596133,Kodiaks #7
663698,Kodiaks #7
605244,Kodiaks #7
543228,Kodiaks #7
543510,Kodiaks #7
650619,Kodiaks #7
681146,Kodiaks #7
669394,Kodiaks #7
669397,Kodiaks #7
593643,Kodiaks #7
649557,Kodiaks #7
641553,Kodiaks #7
664983,Kodiaks #7
643289,Kodiaks #7
671218,Kodiaks #7
675986,Kodiaks #7
682624,Kodiaks #7
676661,Kodiaks #7
680716,Kodiaks #7
666209,Kodiaks #7
669219,Kodiaks #7
691182,Kodiaks #7
685313,Kodiaks #7
682751,Kodiaks #7
682982,Kodiaks #7
668820,Kodiaks #7
685087,Kodiaks #7
691267,Kodiaks #7
676660,Kodiaks #7
695870,Kodiaks #7
694188,Kodiaks #7
700669,Kodiaks #7
694361,Kodiaks #7
680897,Kodiaks #7
682847,Kodiaks #7
691623,Kodiaks #7
694189,Kodiaks #7
691023,Kodiaks #7
696149,Kodiaks #7
693049,Kodiaks #7
682829,Kodiaks #7
703152,Kodiaks #7
701678,Kodiaks #7
683593,Kodiaks #7
800206,Kodiaks #7
703181,Kodiaks #7
672378,Kodiaks #7
675921,McFlys #22
663556,McFlys #22
621121,McFlys #22
663878,McFlys #22
657006,McFlys #22
669211,McFlys #22
666818,McFlys #22
667427,McFlys #22
656638,McFlys #22
554431,McFlys #22
664948,McFlys #22
663734,McFlys #22
621363,McFlys #22
670950,McFlys #22
642048,McFlys #22
657756,McFlys #22
622251,McFlys #22
668721,McFlys #22
669004,McFlys #22
686469,McFlys #22
665947,McFlys #22
571875,McFlys #22
642136,McFlys #22
609275,McFlys #22
624641,McFlys #22
596115,McFlys #22
664058,McFlys #22
802573,McFlys #22
663662,McFlys #22
592192,McFlys #22
656775,McFlys #22
677950,McFlys #22
592273,McFlys #22
664059,McFlys #22
643393,McFlys #22
660620,McFlys #22
663893,McFlys #22
663941,McFlys #22
673662,McFlys #22
679733,McFlys #22
666150,McFlys #22
678692,McFlys #22
681715,McFlys #22
682210,McFlys #22
683735,McFlys #22
682644,McFlys #22
680862,McFlys #22
669471,McFlys #22
669062,McFlys #22
682646,McFlys #22
680692,McFlys #22
686397,McFlys #22
683454,McFlys #22
682729,McFlys #22
682202,McFlys #22
686826,McFlys #22
693312,McFlys #22
683010,McFlys #22
676475,McFlys #22
675540,McFlys #22
680684,McFlys #22
694175,McFlys #22
656657,McFlys #22
682243,McFlys #22
663752,McFlys #22
695020,McFlys #22
682796,McFlys #22
682947,McFlys #22
681468,McFlys #22
666165,McFlys #22
678218,McFlys #22
680589,McFlys #22
677353,McFlys #22
800231,McFlys #22
694170,McFlys #22
700286,McFlys #22
700337,McFlys #22
676710,Melonheads #21
592332,Melonheads #21
656849,Melonheads #21
657140,Melonheads #21
622075,Melonheads #21
650895,Melonheads #21
623474,Melonheads #21
628452,Melonheads #21
643377,Melonheads #21
625643,Melonheads #21
641680,Melonheads #21
661531,Melonheads #21
607732,Melonheads #21
596117,Melonheads #21
641820,Melonheads #21
650859,Melonheads #21
543685,Melonheads #21
672356,Melonheads #21
593871,Melonheads #21
669374,Melonheads #21
543760,Melonheads #21
666181,Melonheads #21
663757,Melonheads #21
606192,Melonheads #21
663457,Melonheads #21
658668,Melonheads #21
673357,Melonheads #21
669261,Melonheads #21
664119,Melonheads #21
656232,Melonheads #21
666130,Melonheads #21
656047,Melonheads #21
656577,Melonheads #21
680235,Melonheads #21
642137,Melonheads #21
660623,Melonheads #21
669424,Melonheads #21
670955,Melonheads #21
668787,Melonheads #21
672629,Melonheads #21
447757,Melonheads #21
660600,Melonheads #21
682636,Melonheads #21
669699,Melonheads #21
676568,Melonheads #21
691185,Melonheads #21
669372,Melonheads #21
668885,Melonheads #21
678577,Melonheads #21
685005,Melonheads #21
678220,Melonheads #21
694930,Melonheads #21
686798,Melonheads #21
694360,Melonheads #21
694193,Melonheads #21
694223,Melonheads #21
687847,Melonheads #21
680727,Melonheads #21
690992,Melonheads #21
687849,Melonheads #21
661309,Melonheads #21
672373,Melonheads #21
691548,Melonheads #21
680887,Melonheads #21
695481,Melonheads #21
691774,Melonheads #21
695549,Melonheads #21
703144,Melonheads #21
622491,Perwar #4
571945,Perwar #4
